"pitcher1","pitcher2","similarity"
"J. A. Happ","David Price",0.737826672959777
"Gio Gonzalez","David Price",1.37371460862222
"Travis Wood","David Price",1.33543530383713
"Clayton Kershaw","David Price",1.88239955395285
"Wade Miley","David Price",0.979305815496144
"Jose Quintana","David Price",1.18495411125227
"Derek Holland","David Price",1.11355407508212
"Madison Bumgarner","David Price",1.08669374430992
"Danny Duffy","David Price",1.03962067099635
"Matt Moore","David Price",0.796071802128407
"Drew Pomeranz","David Price",1.92533787639526
"Chris Sale","David Price",1.08137463749545
"Martin Perez","David Price",0.659258235682363
"Adam Conley","David Price",1.00456803572253
"Mike Montgomery","David Price",0.962963460270612
"Hyun-Jin Ryu","David Price",1.47040490025145
"Matt Boyd","David Price",0.990977078358185
"Patrick Corbin","David Price",1.04235766038261
"Steven Matz","David Price",0.871878616934393
"James Paxton","David Price",1.07698971262736
"Dallas Keuchel","David Price",1.28840592277867
"Robbie Ray","David Price",1.13392188602084
"Eduardo Rodriguez","David Price",0.707256920633659
"Daniel Norris","David Price",0.874542593359769
"Blake Snell","David Price",1.12122485110581
"Adalberto Mejia","David Price",0.787529673200918
"Carlos Rodon","David Price",0.700606255665936
"Kyle Freeland","David Price",0.736107031770484
"Sean Manaea","David Price",1.14596921198062
"Jordan Montgomery","David Price",1.23552614464666
"Sean Newcomb","David Price",1.10346356841967
"Ariel Miranda","David Price",1.059839286651
"Jason Vargas","David Price",1.93949123825003
"Ty Blach","David Price",1.24846722841231
"Alex Wood","David Price",0.818267282053481
"Hector Santiago","David Price",1.18191909143769
"CC Sabathia","J. A. Happ",1.15482093964942
"Cole Hamels","J. A. Happ",0.737581136615199
"Francisco Liriano","J. A. Happ",0.814685339053889
"Rich Hill","J. A. Happ",2.47692221445443
"Jaime Garcia","J. A. Happ",0.823014480268025
"Jon Lester","J. A. Happ",0.972515252555283
"Clayton Richard","J. A. Happ",1.25211963296879
"David Price","J. A. Happ",0.737826672959777
"J. A. Happ","J. A. Happ",0
"Gio Gonzalez","J. A. Happ",1.23172552437436
"Travis Wood","J. A. Happ",1.23657204681301
"Clayton Kershaw","J. A. Happ",1.87975233088015
"Wade Miley","J. A. Happ",1.01183419526709
"Jose Quintana","J. A. Happ",1.19629860911656
"Derek Holland","J. A. Happ",1.09135007659209
"Madison Bumgarner","J. A. Happ",1.10237490465454
"Danny Duffy","J. A. Happ",1.10834253054952
"Matt Moore","J. A. Happ",0.871817833112599
"Drew Pomeranz","J. A. Happ",1.99227766302387
"Chris Sale","J. A. Happ",1.43356816543954
"Martin Perez","J. A. Happ",0.760798110345664
"Adam Conley","J. A. Happ",0.906078173023044
"Mike Montgomery","J. A. Happ",1.21811652678062
"Hyun-Jin Ryu","J. A. Happ",1.44451350410686
"Matt Boyd","J. A. Happ",1.01977310865237
"Patrick Corbin","J. A. Happ",1.08327929694077
"Steven Matz","J. A. Happ",1.04610958990942
"James Paxton","J. A. Happ",1.39699390777881
"Dallas Keuchel","J. A. Happ",1.26737050931753
"Robbie Ray","J. A. Happ",1.31924294781279
"Eduardo Rodriguez","J. A. Happ",0.551431224123276
"Daniel Norris","J. A. Happ",1.03035965164392
"Blake Snell","J. A. Happ",1.08262228386718
"Adalberto Mejia","J. A. Happ",0.749961989894522
"Carlos Rodon","J. A. Happ",0.824227756055103
"Kyle Freeland","J. A. Happ",0.69864428206654
"Sean Manaea","J. A. Happ",1.04950403756187
"Jordan Montgomery","J. A. Happ",1.25347788139261
"Sean Newcomb","J. A. Happ",1.264255747274
"Ariel Miranda","J. A. Happ",1.07693622581942
"Jason Vargas","J. A. Happ",1.75813177629514
"Ty Blach","J. A. Happ",1.07057779440004
"Alex Wood","J. A. Happ",0.93975402883453
"Hector Santiago","J. A. Happ",0.919986931324153
"CC Sabathia","Gio Gonzalez",1.04081456534409
"Cole Hamels","Gio Gonzalez",0.921152165291045
"Francisco Liriano","Gio Gonzalez",1.25030872743724
"Rich Hill","Gio Gonzalez",1.67779926248045
"Jaime Garcia","Gio Gonzalez",0.901670431662508
"Jon Lester","Gio Gonzalez",1.22901437348229
"Clayton Richard","Gio Gonzalez",1.46704238223809
"David Price","Gio Gonzalez",1.37371460862222
"J. A. Happ","Gio Gonzalez",1.23172552437436
"Gio Gonzalez","Gio Gonzalez",0
"Travis Wood","Gio Gonzalez",1.65371618142448
"Clayton Kershaw","Gio Gonzalez",1.85644733361946
"Wade Miley","Gio Gonzalez",1.20333116169654
"Jose Quintana","Gio Gonzalez",1.11075336182603
"Derek Holland","Gio Gonzalez",1.15311246844993
"Madison Bumgarner","Gio Gonzalez",1.32125194376693
"Danny Duffy","Gio Gonzalez",1.18474720531654
"Matt Moore","Gio Gonzalez",1.04498962607371
"Drew Pomeranz","Gio Gonzalez",1.59053096091774
"Chris Sale","Gio Gonzalez",1.25327096717295
"Martin Perez","Gio Gonzalez",1.06613081022711
"Adam Conley","Gio Gonzalez",1.26476289145409
"Mike Montgomery","Gio Gonzalez",0.801446178879299
"Hyun-Jin Ryu","Gio Gonzalez",0.860359073139322
"Matt Boyd","Gio Gonzalez",0.936984114890257
"Patrick Corbin","Gio Gonzalez",1.20826456956526
"Steven Matz","Gio Gonzalez",0.797980332228449
"James Paxton","Gio Gonzalez",1.502629599095
"Dallas Keuchel","Gio Gonzalez",1.1061019462095
"Robbie Ray","Gio Gonzalez",1.54137694914233
"Eduardo Rodriguez","Gio Gonzalez",1.45676364322271
"Daniel Norris","Gio Gonzalez",1.33813134585741
"Blake Snell","Gio Gonzalez",1.48810155124397
"Adalberto Mejia","Gio Gonzalez",1.13122199626246
"Carlos Rodon","Gio Gonzalez",1.1860752037817
"Kyle Freeland","Gio Gonzalez",1.34669173188644
"Sean Manaea","Gio Gonzalez",1.39475700729574
"Jordan Montgomery","Gio Gonzalez",1.21391109096633
"Sean Newcomb","Gio Gonzalez",0.977661292550048
"Ariel Miranda","Gio Gonzalez",1.40180088549358
"Jason Vargas","Gio Gonzalez",1.01573081574894
"Ty Blach","Gio Gonzalez",1.15686697735905
"Alex Wood","Gio Gonzalez",1.04381806219104
"Hector Santiago","Gio Gonzalez",1.31001701163311
"CC Sabathia","Travis Wood",1.06447817100655
"Cole Hamels","Travis Wood",1.25320531364228
"Francisco Liriano","Travis Wood",1.22310307345903
"Rich Hill","Travis Wood",2.12579543060948
"Jaime Garcia","Travis Wood",1.28078676287063
"Jon Lester","Travis Wood",0.952462157119645
"Clayton Richard","Travis Wood",1.92679413544655
"David Price","Travis Wood",1.33543530383713
"J. A. Happ","Travis Wood",1.23657204681301
"Gio Gonzalez","Travis Wood",1.65371618142448
"Travis Wood","Travis Wood",0
"Clayton Kershaw","Travis Wood",1.35608536099566
"Wade Miley","Travis Wood",0.902059722465086
"Jose Quintana","Travis Wood",1.12401116019582
"Derek Holland","Travis Wood",1.20624242180314
"Madison Bumgarner","Travis Wood",0.928114488253918
"Danny Duffy","Travis Wood",1.0339707683423
"Matt Moore","Travis Wood",1.30057229015644
"Drew Pomeranz","Travis Wood",1.72407914503758
"Chris Sale","Travis Wood",1.82522681090636
"Martin Perez","Travis Wood",1.48262274351458
"Adam Conley","Travis Wood",1.46438440953605
"Mike Montgomery","Travis Wood",1.58228005351896
"Hyun-Jin Ryu","Travis Wood",1.4170011433972
"Matt Boyd","Travis Wood",1.30645684910881
"Patrick Corbin","Travis Wood",1.2488918639167
"Steven Matz","Travis Wood",1.70206068911998
"James Paxton","Travis Wood",1.58546322420714
"Dallas Keuchel","Travis Wood",1.24852971865334
"Robbie Ray","Travis Wood",1.3982916568686
"Eduardo Rodriguez","Travis Wood",1.29287946825703
"Daniel Norris","Travis Wood",1.17603165276985
"Blake Snell","Travis Wood",1.00116147441395
"Adalberto Mejia","Travis Wood",1.05766043382354
"Carlos Rodon","Travis Wood",1.14167234161141
"Kyle Freeland","Travis Wood",1.33225024303381
"Sean Manaea","Travis Wood",1.73584992852176
"Jordan Montgomery","Travis Wood",1.06456842521962
"Sean Newcomb","Travis Wood",1.46983701710568
"Ariel Miranda","Travis Wood",1.35433929289865
"Jason Vargas","Travis Wood",1.73491598435519
"Ty Blach","Travis Wood",1.62499977751659
"Alex Wood","Travis Wood",1.479188856467
"Hector Santiago","Travis Wood",1.31027570574961
"CC Sabathia","Clayton Kershaw",1.69761338980525
"Cole Hamels","Clayton Kershaw",1.72629625337855
"Francisco Liriano","Clayton Kershaw",1.95722321646363
"Rich Hill","Clayton Kershaw",2.04353261511673
"Jaime Garcia","Clayton Kershaw",1.66101025218602
"Jon Lester","Clayton Kershaw",1.3042518685046
"Clayton Richard","Clayton Kershaw",2.36144236972866
"David Price","Clayton Kershaw",1.88239955395285
"J. A. Happ","Clayton Kershaw",1.87975233088015
"Gio Gonzalez","Clayton Kershaw",1.85644733361946
"Travis Wood","Clayton Kershaw",1.35608536099566
"Clayton Kershaw","Clayton Kershaw",0
"Wade Miley","Clayton Kershaw",1.44613062739512
"Jose Quintana","Clayton Kershaw",1.44654005380246
"Derek Holland","Clayton Kershaw",1.71573984848724
"Madison Bumgarner","Clayton Kershaw",1.19849080462161
"Danny Duffy","Clayton Kershaw",1.66131966158844
"Matt Moore","Clayton Kershaw",1.68262196200849
"Drew Pomeranz","Clayton Kershaw",1.43313701722958
"Chris Sale","Clayton Kershaw",2.26653286161041
