"pitcher1","pitcher2","similarity"
"Lance McCullers","R. A. Dickey",2.4461374374649
"Jose Berrios","R. A. Dickey",2.45188841617817
"Luis Castillo","R. A. Dickey",2.89585102068818
"Antonio Senzatela","R. A. Dickey",2.56044986948977
"Luis Severino","R. A. Dickey",2.75997184397742
"Kenta Maeda","R. A. Dickey",2.0151526229852
"Chad Kuhl","R. A. Dickey",2.84176771185066
"Zack Godley","R. A. Dickey",2.07992448505033
"Austin Pruitt","R. A. Dickey",2.04382059256997
"Jeff Hoffman","R. A. Dickey",2.69381539014613
"Dinelson Lamet","R. A. Dickey",2.44856920000323
"Jesse Hahn","R. A. Dickey",2.56831341627139
"Zach Davies","R. A. Dickey",2.22619553060971
"Scott Feldman","R. A. Dickey",1.85928119407743
"Mike Leake","R. A. Dickey",1.96857919864702
"Trevor Cahill","R. A. Dickey",2.0526355868233
"Kendall Graveman","R. A. Dickey",2.74365840230478
"Jake Arrieta","R. A. Dickey",2.42240233964434
"Joe Ross","R. A. Dickey",1.97522056587346
"Mike Pelfrey","R. A. Dickey",2.13598949343378
"Bartolo Colon","John Lackey",1.49932652787025
"Bronson Arroyo","John Lackey",1.76633679438709
"R. A. Dickey","John Lackey",1.74404229161598
"John Lackey","John Lackey",0
"Adam Wainwright","John Lackey",1.25164146493441
"Zack Greinke","John Lackey",0.804945184005021
"Ervin Santana","John Lackey",0.94727191499746
"Matt Cain","John Lackey",0.981139523760019
"Felix Hernandez","John Lackey",1.10714263947159
"Yusmeiro Petit","John Lackey",1.01315583079892
"Justin Verlander","John Lackey",1.16190496430157
"Ubaldo Jimenez","John Lackey",1.0889948169356
"Jason Hammel","John Lackey",0.775410758043046
"Anibal Sanchez","John Lackey",0.971137595213338
"Brandon McCarthy","John Lackey",1.12365888102622
"Ricky Nolasco","John Lackey",0.956472346066057
"Jesse Chavez","John Lackey",0.940252654468405
"Corey Kluber","John Lackey",0.892330630799795
"James Shields","John Lackey",0.83312181875633
"Carlos Torres","John Lackey",1.35694738283925
"Edinson Volquez","John Lackey",1.44710048216168
"Charlie Morton","John Lackey",1.4387523471029
"Yovani Gallardo","John Lackey",0.886555347041691
"Ian Kennedy","John Lackey",1.12990204569732
"Max Scherzer","John Lackey",0.737178955882473
"Miguel Gonzalez","John Lackey",0.805692839897217
"Johnny Cueto","John Lackey",1.08513122724672
"Lance Lynn","John Lackey",1.13926031285846
"Josh Tomlin","John Lackey",1.1310591479888
"Marco Estrada","John Lackey",1.89903110016687
"Ivan Nova","John Lackey",1.3035598217773
"Jhoulys Chacin","John Lackey",0.756617553144191
"Carlos Carrasco","John Lackey",0.947488153092238
"Jeremy Hellickson","John Lackey",1.43418237321925
"Andrew Cashner","John Lackey",1.19162510640681
"Craig Stammen","John Lackey",0.97648732921016
"Matt Garza","John Lackey",0.68858960167905
"J. C. Ramirez","John Lackey",1.22831685921378
"Michael Pineda","John Lackey",0.758648901504692
"Chris Tillman","John Lackey",0.826053970322872
"Chris Archer","John Lackey",1.1324728421783
"Kyle Gibson","John Lackey",0.846455236890254
"Alex Cobb","John Lackey",1.1792495832794
"Jeff Samardzija","John Lackey",1.04017415666149
"Chase Anderson","John Lackey",1.20049386062311
"Brad Peacock","John Lackey",0.801249263384718
"Wily Peralta","John Lackey",1.01404865029328
"Yu Darvish","John Lackey",1.0523024957141
"Danny Salazar","John Lackey",1.55397401139872
"Matt Harvey","John Lackey",1.11571365722589
"Jimmy Nelson","John Lackey",1.0313446681122
"Rick Porcello","John Lackey",0.944688902344529
"Jordan Zimmermann","John Lackey",0.6357345307927
